作者,歌名,BPM,拍号,热度
A-Lin,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,77.38,4/4拍,62
梦然,少年,89.98,4/4拍,62
告五人,披星戴月的想你,99.98,4/4拍,62
"88rising, Joji, Jackson Wang, Major Lazer, Swae Lee",Walking (feat. Swae Lee & Major Lazer),100,4/4拍,62
WayV,Take Off,103.02,4/4拍,62
WayV,Nectar,115.08,4/4拍,62
Good Band,他們說我是沒有用的年輕人,119.98,4/4拍,62
Jay Chou,擱淺,122.71,4/4拍,62
Pika Chiu,太陽,124.08,4/4拍,62
Eric Chou,以後別做朋友,130.58,4/4拍,62
JJ Lin,那些你很冒險的夢,135.87,4/4拍,62
G.E.M.,來自天堂的魔鬼,135.99,4/4拍,62
"Mayday Parade, Vic Fuentes",Somebody That I Used To Know,136.06,4/4拍,62
告五人,唯一 (三立/台視戲劇《戀愛是科學》插曲),140.6,4/4拍,62
Vicky Chen,炙愛 - 女聲版,152.19,4/4拍,62
Hebe Tien,小幸運,157.92,4/4拍,62
Dear Jane,到底發生過什麼事,165.97,4/4拍,62
Kelly Yu,體面(電影《前任3:再見前任》插曲),169.84,4/4拍,62
陳卓賢 Ian,留一天與你喘息,172.08,4/4拍,62
Tanya Chua,紅色高跟鞋,176.02,4/4拍,62
Keung To,追,177.82,4/4拍,62
Mayday,後來的我們,78.01,4/4拍,61
Rachel Liang,那女孩對我說,79.97,4/4拍,61
JJ Lin,可惜沒如果,79.99,4/4拍,61
E.SO,CHANGE,97.86,4/4拍,61
E.SO,她沒在看我,98.96,4/4拍,61
WayV,Moonwalk,109.98,4/4拍,61
Shirley Chen,绿色,121.97,4/4拍,61
"Alesso, CORSAK",Going Dumb,122,4/4拍,61
井朧,丟了你,122.07,4/4拍,61
EggPlantEgg,浪子回頭,129.52,4/4拍,61
Karen Mok,慢慢喜歡你,130.12,4/4拍,61
Terence Lam,時光倒流一句話,133.93,4/4拍,61
JJ Lin,修煉愛情,135.05,4/4拍,61
JC 陳詠桐,說散就散,139.81,4/4拍,61
Mayday,突然好想你,140.11,4/4拍,61
Eve Ai,我這個人 - 《我沒有談的那場戀愛》電影宣傳主題曲,142.47,4/4拍,61
JJ Lin,不為誰而作的歌,145.05,4/4拍,61
Chih Siou,正想著你呢,168.17,4/4拍,61
JJ Lin,她說,169.27,4/4拍,61
"Nine Chen, Feng Ze",天黑請閉眼 (feat. 邱鋒澤),169.93,4/4拍,61
G.E.M.,平行世界,217.4,4/4拍,61
吳青峰,起風了 - 電視劇"加油你是最棒的"主題曲,73.96,4/4拍,60
不是花火呀,TA,74.91,4/4拍,60
"Jay Chou, 阿信",說好不哭,75.86,4/4拍,60
KUN,情人,86.06,4/4拍,60
"JJ Lin, G.E.M.",手心的薔薇,86.95,4/4拍,60
831,我不需要每一個人都愛我 - A Rock Can Be A Star,93.04,4/4拍,60
E.SO,Something I Don't Need,94.01,4/4拍,60
Harlem Yu,情非得已,106.91,4/4拍,60
菲道尔,阿拉斯加海湾,120.56,4/4拍,60
"Jace Chan, Terence Lam",隔離 - Studio Live Duet,123.1,4/4拍,60
EggPlantEgg,浪流連,123.59,4/4拍,60
Hins Cheung,俏郎君,123.73,4/4拍,60
理想混蛋,不是因為天氣晴朗才愛你,135.78,4/4拍,60
G.E.M.,泡沫,136.02,4/4拍,60
Waa Wei,彼個所在,139.86,4/4拍,60
Eric Chou,怎麼了,140.05,4/4拍,60
許光漢,別再想見我,141.9,4/4拍,60
Jay Chou,七里香,142.13,4/4拍,60
Jay Chou,安靜,143.86,4/4拍,60
Jay Chou,珊瑚海,145.99,4/4拍,60
"Jay Chou, Gary Yang",等你下課,147.92,4/4拍,60
井朧,不刪,163.63,4/4拍,60
Edan 呂爵安,E先生 連環不幸事件,164.01,4/4拍,60
"G.E.M., Eric Chou",別勉強,164.1,4/4拍,60
Shirley Chen,你的酒馆对我打了烊,167.87,4/4拍,60
Eason Chan,是但求其愛,181.86,4/4拍,60
Joker Xue,演員,182.84,4/4拍,60
"Tech N9ne, Kendrick Lamar, Mayday, Kendall Morgan",Fragile,194.9,6/8拍,60
Karen Mok,呼吸有害,77.98,4/4拍,59
Hu Xia,那些年,79.04,4/4拍,59
E.SO,太陽,80.01,4/4拍,59
Eric Chou,I See You Everywhere,86.04,4/4拍,59
"Aska Yang, Zhang Bichen",凉凉 - 電視劇《三生三世十里桃花》片尾曲,90,4/4拍,59
Terence Lam,神奇的糊塗魔藥,90.91,4/4拍,59
G.E.M.,我的秘密 (MySecret),104.01,4/4拍,59
Jay Chou,Mojito,115,4/4拍,59
Terence Lam,一人之境 in C major,122.05,4/4拍,59
阿冗,與我無關,123.86,4/4拍,59
Eason Chan,十年,123.99,4/4拍,59
Ren Ran,疑心病,124.1,4/4拍,59
胡66,后来遇见他,127.96,4/4拍,59
A-Lin,給我一個理由忘記,133.18,4/4拍,59
Jay Chou,一路向北,133.92,4/4拍,59
JJ Lin,當你,133.96,4/4拍,59
Tiger Hu,你要的全拿走,133.99,4/4拍,59
Jay Chou,楓,134.43,4/4拍,59
Jay Chou,蒲公英的約定,135.98,4/4拍,59
Michael Wong,童話,136.02,4/4拍,59
Rainie Yang,年輪說,148,4/4拍,59
Eric Chou,我很快樂,149.61,4/4拍,59
Mayday Parade,Terrible Things - EP Version,154.99,6/8拍,59
Hua Chen Yu,好想愛這個世界啊,159.87,4/4拍,59
Shi Shi,Someday or One day,167.86,4/4拍,59
Eason Chan,讓我留在你身邊,169.69,4/4拍,59
"Nine Chen, Feng Ze",天黑請閉眼 feat. 邱鋒澤,169.98,4/4拍,59
陳卓賢 Ian,Distance,170.03,4/4拍,59
AGA,Wonderful U - Demo Version,180,6/8拍,59
Nana Ou-Yang,The Best For You,184.14,6/8拍,59
阿涵,过客,208.22,4/4拍,59
"Jay Chou, A-Mei Chang",不該,75.03,4/4拍,58
Vivian Hsu,別人的 - 電影《孤味》片尾曲,76.01,4/4拍,58
Beyond,海闊天空 - Edited Version,76.95,4/4拍,58
Kelly Chen,LOVE PARADISE (英文),80.01,4/4拍,58
A-Mei Chang,連名帶姓,80.88,4/4拍,58
Hebe Tien,懸日,82.94,4/4拍,58
Eric Chou,永不失聯的愛 [原創概念版],84.76,4/4拍,58
Leehom Wang,你不知道的事,86.98,4/4拍,58
Jay Chou,夜曲,86.98,4/4拍,58
G.E.M.,差不多姑娘,87.99,4/4拍,58
高爾宣 OSN,Why You Gonna Lie,90,4/4拍,58
Rene Liu,各自安好,91.85,4/4拍,58
LaLa Hsu,你敢不敢,92,4/4拍,58
Jay Chou,青花瓷,108.01,4/4拍,58
G.E.M.,超能力,112.98,4/4拍,58
Jay Chou,說好的幸福呢,117.61,4/4拍,58
Priscilla Abby,阿拉斯加海湾,117.81,4/4拍,58
Terence Lam,下一位前度,117.89,4/4拍,58
Ronghao Li,戒菸,120,4/4拍,58
JJ Lin,江南,120.02,4/4拍,58
Jay Chou,最長的電影,120.86,4/4拍,58
Sandy Lam,至少還有你,124.69,4/4拍,58
Yisa Yu,路過人間 (電視劇《我們與惡的距離》插曲),129.93,4/4拍,58
Khalil Fong,Nothing's gonna change my love for you,131.5,4/4拍,58
Guo Ding,水星記,134.17,4/4拍,58
G.E.M.,平凡天使,139.75,4/4拍,58
王貳浪,像魚,139.9,4/4拍,58
Stefanie Sun,我懷念的,139.97,4/4拍,58
Alien Huang,地球上最浪漫的一首歌,139.99,4/4拍,58
告五人,愛人錯過,140.04,4/4拍,58
周深,大魚 - 唱片版,140.19,4/4拍,58
Ronghao Li,不將就 (電影"何以笙簫默"片尾曲),143.79,4/4拍,58
Crowd Lu,幾分之幾 - 電影<花甲大人轉男孩>主題曲,143.82,4/4拍,58
Kimberley Chen,愛你,144.03,4/4拍,58
Eason Chan,我們 - 《後來的我們》電影主題曲,144.58,4/4拍,58
Rene Liu,後來,149.78,4/4拍,58
J.Sheon,輸情歌,149.96,4/4拍,58
"高爾宣 OSN, Vicky Chen",Without You - Acoustic Version,153.89,4/4拍,58
Jay Chou,稻香,163.98,4/4拍,58
A-Mei Chang,緩緩,172.01,4/4拍,58
"Namewee, Leehom Wang",飄向北方,173.91,4/4拍,58
"Will Pan, Xian Zi",不得不愛,80,4/4拍,57
LaLa Hsu,失落沙洲,80.2,4/4拍,57
JJ Lin,醉赤壁,82.04,4/4拍,57
高爾宣 OSN,最後一次,89.99,4/4拍,57
E.SO,WAIT,90,4/4拍,57
"Gentle Bones, Tay Kewei",你還不知道?,94,4/4拍,57
"JJ Lin, Charlene Choi",小酒窩,95.2,4/4拍,57
Joker Xue,你还要我怎样,95.53,4/4拍,57
Jolin Tsai,玫瑰少年,98.01,4/4拍,57
ØZI,SLIDE,99.98,4/4拍,57
Kay Tse,囍帖街,125.91,4/4拍,57
傲七爺,是想你的聲音啊,126.01,4/4拍,57
王靖雯不胖,不知所措,127.97,4/4拍,57
Ice Paper,心如止水,128.02,4/4拍,57
Edan 呂爵安,LOVERSE,128.92,6/8拍,57
劉瑞琦,房間 (電影《超時空同居》插曲),129.64,4/4拍,57
Hins Cheung,只是太愛你,130,4/4拍,57
Jia Jia,家家酒,132.1,4/4拍,57
David Tao,"愛, 很簡單",137.64,4/4拍,57
Kelly Yu,餘地,137.76,4/4拍,57
Dear Jane,未開始已經結束,137.99,4/4拍,57
G.E.M.,透明,138.06,4/4拍,57
Eve Ai,Forever Young,139.59,4/4拍,57
JC 陳詠桐,說散就散,139.68,4/4拍,57
Joanna Wang,Wild World - Acoustic Version,139.95,4/4拍,57
Della,猜不透,139.96,4/4拍,57
Sunset Rollercoaster,My Jinji,143.93,4/4拍,57
"Mayday, Stefanie Sun",溫柔 #MaydayBlue20th - feat.孫燕姿,148.07,4/4拍,57
Wu Bai,Last Dance,151.31,4/4拍,57
"阿涵, Ayo97",感谢你曾来过,160.02,4/4拍,57
G.E.M.,倒數,164.06,4/4拍,57
Jackson Wang,Papillon,170.16,4/4拍,57
吳青峰,起風了,73.96,4/4拍,56
Jason Chan,你瞞我瞞,75.99,4/4拍,56
Stefanie Sun,餘額,76.39,4/4拍,56
Jordan Chan,獨家記憶,79.91,4/4拍,56
G.E.M.,孤獨,84.03,4/4拍,56
陳雪燃,"無名之輩 (電視劇《親愛的, 熱愛的》主題曲)",85,4/4拍,56
"Franz Liszt, Lang Lang","La campanella in G-Sharp Minor (From ""Grandes études de Paganini"", S. 141 / 3)",87.95,4/4拍,56
梦然,少年,89.98,4/4拍,56
告五人,醜人多作怪 (《新斗羅大陸》手遊半週年主題曲),90.03,4/4拍,56
陳卓賢 Ian,Got U,92.96,4/4拍,56
"Jacky Cheung, 高慧君",你最珍貴,93.92,4/4拍,56
Hins Cheung,春秋,98.66,4/4拍,56
Jacky Cheung,每天愛你多一些,100.03,4/4拍,56
"韓紅, JJ Lin",飛雲之下,109.99,4/4拍,56
Mayday Parade,Stay,111.97,4/4拍,56
Eason Chan,好久不見,114.47,4/4拍,56
"小潘潘, 小峰峰（陳峰）",學貓叫,115.04,4/4拍,56
Stefanie Sun,開始懂了,117.93,4/4拍,56
Yoga Lin,兜圈,117.96,4/4拍,56
Eason Chan,淘汰,117.98,4/4拍,56
Jace Chan,隔離,120.01,4/4拍,56
小乐哥,执迷不悟,120.06,4/4拍,56
Shi Shi,小心翻閱 Going Through,121.98,4/4拍,56
曲肖冰,太阳,123.98,4/4拍,56
Cyndi Wang,心靈的冒險,124.03,4/4拍,56
A-Mei Chang,人質,128.9,4/4拍,56
JJ Lin,背對背擁抱,129.55,4/4拍,56
Ren Ran,后继者,131.84,4/4拍,56
大泫,静悄悄,131.93,4/4拍,56
Faye Wong,如愿,132.88,4/4拍,56
Terence Lam,小林不動產,134.89,4/4拍,56
Mao Buyi,不染 (電視劇《香蜜沉沉燼如霜》主題曲),135.83,4/4拍,56
G.E.M.,再見,135.89,4/4拍,56
Joey Yung,就讓這大雨全都落下,136,4/4拍,56
F.I.R.,我們的愛,136.05,4/4拍,56
Cyndi Wang,大眠,136.2,4/4拍,56
Vicky Chen,煙幕,140.12,4/4拍,56
Fei Yu-ching,一翦梅 - xue hua piao piao bei feng xiao xiao,141.46,4/4拍,56
Diana Wang,Home,141.98,4/4拍,56
Joey Yung,東京人壽,142.14,4/4拍,56
Jay Chou,不能說的秘密,143.92,4/4拍,56
Kumachan,88BARS,143.99,4/4拍,56
Mayday,我不願讓你一個人,144.01,4/4拍,56
Jay Chou,彩虹,147.92,4/4拍,56
Eason Chan,盲婚啞嫁,153.94,4/4拍,56
Vicky Chen,My Love is Selfish,153.94,4/4拍,56
G.E.M.,喜歡你,156.15,4/4拍,56
Rainie Yang,雨愛,159.96,4/4拍,56
G.E.M.,你不是真正的快樂,163.92,4/4拍,56
"Endy Chow, ToNick",時間的初衷 (電影《一秒拳王》主題曲),164.04,4/4拍,56
Jam Hsiao,讓我為你唱情歌,171.11,4/4拍,56
"Eason Chan, Faye Wong",因為愛情,175.94,4/4拍,56
"Ryan.B, effie",No Reason,176.07,4/4拍,56
Andrew Tan,兜轉 - 《HIStory4-近距離愛上你》LINE TV片頭曲,180,4/4拍,56
Jacky Cheung,我真的受傷了,72.92,4/4拍,55
陳卓賢 Ian,正式開始,73.95,4/4拍,55
"Franz Liszt, Lang Lang","Consolation No. 3 in D-Flat Major, S. 172",74.25,4/4拍,55
李浩瑋 Howard Lee,Crush On,74.76,4/4拍,55
Tanya Chua,十萬毫升淚水,75.07,5/4拍,55
Victor Wong,我以為,76.97,4/4拍,55
A-Lin,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,77.44,4/4拍,55
Steve Chou,黃昏,78.04,4/4拍,55
Crowd Lu,魚仔 - 電視劇<花甲男孩轉大人>主題曲,82.01,4/4拍,55
Zhang Zhen Yue,愛我別走,90.08,4/4拍,55
Terence Lam,在空中的這一秒,91.07,4/4拍,55
WayV,Let me love u,91.99,4/4拍,55
Keung To,Master Class,92.01,4/4拍,55
Mirror,Warrior,93.99,4/4拍,55
姜濤,蒙著嘴說愛你,95,4/4拍,55
Jay Chou,簡單愛,96.99,4/4拍,55
"Fritz Kreisler, Sergei Rachmaninoff, RueiBin Chen",Liebesleid (Love's Sorrow),97.84,4/4拍,55
"ØZI, 9m88",B.O.,100.06,4/4拍,55
Jolin Tsai,說愛你,102,4/4拍,55
Joker Xue,認真的雪,104.96,4/4拍,55
Chih Siou,用破碎的心修好破碎的心,105.33,4/4拍,55
Crowd Lu,Life Box - THE ALL-NEW FORD 旅玩家 2021 年度主題曲,106.01,4/4拍,55
Leo Ku,飄流教室,109.68,4/4拍,55
Faye Wong,紅豆,111.82,4/4拍,55
Jay Chou,明明就,112.98,4/4拍,55
Sam Lee,最近,113.88,4/4拍,55
"Candy Lo, Leehom Wang",好心分手,114.04,4/4拍,55
"Johann Sebastian Bach, Lang Lang","Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)",114.76,4/4拍,55
Jay Chou,髮如雪,116.05,4/4拍,55
Jay Chou,給我一首歌的時間,118,4/4拍,55
張杰,他不懂,122.05,4/4拍,55
刘大壮,会不会 - 正式版,122.91,4/4拍,55
Waa Wei,你啊你啊 - 電視劇「用九柑仔店」插曲,123.86,4/4拍,55
Eason Chan,明年今日,123.97,4/4拍,55
J.Sheon,別問很可怕,125.9,6/8拍,55
Joey Yung,心淡,125.91,4/4拍,55
"R3HAB, Jolin Tsai",Stars Align (with Jolin Tsai),126.03,4/4拍,55
Yoga Lin,天真有邪,128.13,4/4拍,55
Jacky Cheung,又十年,129.68,4/4拍,55
JJ Lin,交換餘生,130.22,4/4拍,55
Jolin Tsai,倒帶,130.41,4/4拍,55
六哲,畢竟深愛過,131.94,4/4拍,55
Jay Chou,退後,131.95,4/4拍,55
Jordan Chan,相依為命,133.12,4/4拍,55
Eric Chou,小時候的我們,135.05,4/4拍,55
Yan Ting,遲了悔改 - ViuTV電視劇《太平紋身店》主題曲,135.83,4/4拍,55
Eric Chou,Nobody But Me,138.09,4/4拍,55
Hins Cheung,賽勒斯的愛,139.58,4/4拍,55
Charmaine Fong,假使世界原來不像你預期,139.82,4/4拍,55
Khalil Fong,特別的人,139.99,4/4拍,55
"Regine Velasquez, Jacky Cheung",In Love With You,142,4/4拍,55
Dear Jane,懷舊金曲之夜,142.03,4/4拍,55
"CORSAK, Robinson",GLOW,145.11,4/4拍,55
Rainie Yang,青春住了誰,148.07,4/4拍,55
Ren Ran,空空如也,156.14,4/4拍,55
Andrew Tan,天后,160.04,4/4拍,55
By2,BECAUSE OF YOU - Guitar,169.66,4/4拍,55
Miriam Yeung,可惜我是水瓶座,169.98,4/4拍,55
"JJ Lin, Stefanie Sun",Stay With You - 英文版,170.84,5/4拍,55
Jay Chou,聽見下雨的聲音,172.12,4/4拍,55
"王俊凱, Jolin Tsai",心引力,187.65,4/4拍,55
胡66,都怪我,187.91,4/4拍,55
Fish Leong,可惜不是你,73.78,4/4拍,54
告五人,愛在夏天,74.97,4/4拍,54
Hacken Lee,月半小夜曲 - New Recording Version,80.19,4/4拍,54
JJ Lin,對的時間點,82.34,4/4拍,54
Leo Ku,自我安慰,84.12,4/4拍,54
"Will Pan, Tia Ray",Moonlight (feat. 袁婭維),87.51,4/4拍,54
Olivia Ong,Close to You,88.77,4/4拍,54
婁峻碩,COLORFUL,89.98,4/4拍,54
Zhang Zhen Yue,思念是一種病,90.02,4/4拍,54
Jay Chou,聽媽媽的話,92.99,4/4拍,54
Lexie Liu,Manta,95.97,4/4拍,54
Jolin Tsai,怪美的,97.98,4/4拍,54
卓義峯,再見煙火,98.07,4/4拍,54
張杰,三生三世 - 電視劇《三生三世十里桃花》片頭曲,102.06,6/8拍,54
"Hu Xia, Yisa Yu",知否知否 - "知否知否应是绿肥红瘦" 电视剧主题曲,103.98,4/4拍,54
Dear Jane,2084,104.93,4/4拍,54
Jay Chou,算什麼男人,106.94,4/4拍,54
Jay Chou,我不配,108.02,4/4拍,54
LaLa Hsu,喜歡你,109.91,4/4拍,54
Leo Ku,2nd Favourite 第二最愛,111.03,4/4拍,54
Fish Leong,會呼吸的痛,112.01,4/4拍,54
Mao Buyi,消愁,112.02,4/4拍,54
Joker Xue,剛剛好,113.67,4/4拍,54
王七七,我願意平凡的陪在你身旁,117.16,4/4拍,54
ØZI,0.03,117.94,4/4拍,54
Fish Leong,接受,119.97,4/4拍,54
"林隆璇, Sam Lee",你那麼愛她,120.16,4/4拍,54
Jacky Cheung,吻別,121.9,4/4拍,54
陳卓賢 Ian,鯨落,122.88,4/4拍,54
Mao Buyi,像我這樣的人,123.2,4/4拍,54
Karen Mok,如果沒有你,125.89,4/4拍,54
沈以誠,雨 (電視劇《以家人之名》插曲),125.93,4/4拍,54
Jay Chou,愛在西元前,126.81,4/4拍,54
老王樂隊,我還年輕 我還年輕,127.89,4/4拍,54
Yoga Lin,說謊,128.05,4/4拍,54
Yo Lee,誰,128.56,4/4拍,54
JJ Lin,Love U U,129.06,4/4拍,54
李润祺,茫,129.94,4/4拍,54
Keung To,無人不知的戰果 (ViuTV劇集: 季前賽主題曲),129.98,4/4拍,54
于果,側臉,130.06,4/4拍,54
Eason Chan,單車,130.07,4/4拍,54
"Fish Leong, Crowd Lu",不是我不明白,130.13,4/4拍,54
Jacky Cheung,你的名字 我的姓氏,131.71,6/8拍,54
JJ Lin,愛笑的眼睛,132.63,4/4拍,54
David Tao,愛我還是他,133.02,4/4拍,54
Jay Fung,給缺席的人唱首歌,133.99,4/4拍,54
Shiga Lin,I'm Still Loving You,134.44,4/4拍,54
JJ Lin,將故事寫成我們,134.93,4/4拍,54
Tangerine Wong,惡作劇,135.98,4/4拍,54
Jay Chou,晴天,137.13,4/4拍,54
EggPlantEgg,恰似你的溫柔,137.2,4/4拍,54
Eric Chou,受夠,139.66,4/4拍,54
Serrini,我在流浮山滴眼水.jpg,139.84,4/4拍,54
Jay Chou,開不了口,139.95,4/4拍,54
Pakho Chau,讓愛高飛 - 劇集 "多功能老婆" 片尾曲,139.98,4/4拍,54
Dear Jane,銀河修理員,140.01,4/4拍,54
"CORSAK, 马吟吟",Reverse,140.03,4/4拍,54
Katncandix2,我常常想起你,140.82,6/8拍,54
Rainie Yang,帶我走,141.94,4/4拍,54
Hins Cheung,櫻花樹下,143.68,4/4拍,54
Jay Chou,龍捲風,143.94,4/4拍,54
Sa Dingding,左手指月 (電視劇《香蜜沉沉燼如霜》片尾曲),145.96,4/4拍,54
Penny Tai,你要的愛,147.99,4/4拍,54
Li Yugang,剛好遇見你,155.99,4/4拍,54
Hebe Tien,小幸運 - 電影《我的少女時代》主題曲,157.92,4/4拍,54
A-Mei Chang,掉了,162.02,4/4拍,54
Mayday Parade,Jersey,162.02,4/4拍,54
Mayday,你不是真正的快樂,164.08,4/4拍,54
Kelly Yu,體面,169.84,4/4拍,54
王靖雯不胖,善变,173.68,4/4拍,54
F.I.R.,月牙灣,174.03,4/4拍,54
Stefanie Sun,逆光,175.92,4/4拍,54
Leslie Cheung,追,179.7,4/4拍,54
Kelly Chen,Lover's Concerto,201.14,4/4拍,54
Jam Hsiao,新不了情,67.91,4/4拍,53
Mayday Parade,Three Cheers For Five Years,69.13,4/4拍,53
Leslie Cheung,有心人,72.02,4/4拍,53
A-Lin,拿走了什麼,75.01,4/4拍,53
Jay Chou,軌跡,75.21,4/4拍,53
Sodagreen,我好想你,76.03,4/4拍,53
Bisiugroup,擋一根,76.06,4/4拍,53
"Jolin Tsai, Jony J",我是誰 (電視劇《狼殿下》主題曲),77.01,4/4拍,53
Nicky Lee,想太多,77.1,4/4拍,53
"YELLOW黃宣, 9m88",怪天氣,77.55,4/4拍,53
"KnowKnow, Higher Brothers",R&B All Night,78.03,4/4拍,53
Teresa Teng,月亮代表我的心,78.09,4/4拍,53
告五人,與海無關,78.16,4/4拍,53
Ann Bai,是什麼讓我遇見這樣的你,78.69,4/4拍,53
Ricky Hsiao,送予你的歌,79.94,4/4拍,53
F.I.R.,Lydia,80.97,4/4拍,53
Ada Zhuang,再見只是陌生人,82,4/4拍,53
Ronghao Li,麻雀,85.02,4/4拍,53
Jay Chou,告白氣球,90,4/4拍,53
新乐尘符,123我爱你,90.02,4/4拍,53
陳卓賢 Ian,DWBF,94,4/4拍,53
Angela Chang,淋雨一直走,94.03,4/4拍,53
Mayday Parade,"Oh Well, Oh Well",94.48,4/4拍,53
Mayday,玫瑰少年,95.98,4/4拍,53
Fyy,万有引力,97.53,4/4拍,53
G.E.M.,畫 (Live Piano Session II),100.82,4/4拍,53
"Guo Ding, Rachael Yamagata",It's Always The Little Things,103.31,4/4拍,53
Eric Chou,終於了解自由,104.95,4/4拍,53
Ryan.B,像极了,105.07,4/4拍,53
Eason Chan,愛情轉移(國),105.26,4/4拍,53
Wanting,Drenched,106.04,4/4拍,53
"88rising, Phum Viphurit, Higher Brothers",Lover Boy 88,109.98,4/4拍,53
Ronald Cheng,無賴,111.02,4/4拍,53
鞠文娴,BINGBIAN病变 - 女声版,113.1,4/4拍,53
Landy Wen,夏日の風,113.94,4/4拍,53
Ronghao Li,李白,114.93,4/4拍,53
AGA,CityPop,114.99,4/4拍,53
Silence Wang,一笑傾城,117.98,4/4拍,53
Olivia Ong,Sometimes When We Touch,119.71,4/4拍,53
A-Mei Chang,聽海,123.89,4/4拍,53
Joker Xue,丑八怪,124.03,4/4拍,53
Terence Lam,特倫斯夢遊仙境,124.04,4/4拍,53
Jay Chou,說了再見,124.04,4/4拍,53
Lu Han,Lu,125.08,4/4拍,53
Leehom Wang,另一個天堂,127.84,4/4拍,53
"In K, 王忻辰",迷失幻境 - DJ版,127.98,4/4拍,53
告五人,帶我去找夜生活,128,4/4拍,53
Hebe Tien,無人知曉,129.39,4/4拍,53
Eason Chan,無條件,129.91,4/4拍,53
"Christine Fan, Angela Chang",如果的事,129.96,4/4拍,53
王琪,可可托海的牧羊人,129.97,4/4拍,53
Shi Shi,恆溫,129.97,5/4拍,53
Jay Chou,半島鐵盒,129.98,4/4拍,53
