作者,歌名,BPM,拍号,热度
"K/DA, Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns, Seraphine, League of Legends",MORE,142.02,4/4拍,77
WayV,Love Talk - English Version,98.01,4/4拍,74
Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲),62.92,4/4拍,73
"Alesso, CORSAK, Stray Kids",Going Dumb (with Stray Kids),121.98,4/4拍,73
Jackson Wang,LMLY,139.93,4/4拍,73
"88rising, Joji, Rich Brian, Higher Brothers, AUGUST 08",Midsummer Madness,89.97,4/4拍,72
Crowd Lu,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,136.33,4/4拍,72
Ren Ran,飞鸟和蝉,147.9,4/4拍,71
Jackson Wang,100 Ways,109.96,4/4拍,70
831,想見你想見你想見你(電視劇"想見你"片尾曲),129.81,4/4拍,70
"League of Legends, Valerie Broussard, Ray Chen",Awaken,49.45,5/4拍,69
Keung To,作品的說話,79.99,4/4拍,69
"Jackson Wang, Galantis",Pretty Please,126.07,4/4拍,69
大籽,白月光与朱砂痣,90.03,4/4拍,68
"88rising, Stephanie Poetri, Jackson Wang",I Love You 3000 II,179.73,4/4拍,68
告五人,在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲),180.1,4/4拍,68
Keung To,"Dear My Friend,",94.57,4/4拍,67
En,嚣张,133.99,4/4拍,67
Eric Chou,怎麼了,139.93,4/4拍,67
程響,四季予你,141.97,4/4拍,67
Mayday Parade,Jamie All Over,149.04,4/4拍,67
Eason Chan,孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,130.02,4/4拍,66
陳卓賢 Ian,再見 寧靜海,146.88,4/4拍,66
EggPlantEgg,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲,149.97,4/4拍,66
Eric Chou,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",159.82,4/4拍,66
"Eric Chou, 單依純",愛我的時候,75.39,4/4拍,65
高爾宣 OSN,Without You,80,4/4拍,65
"音阙诗听, 赵方婧",芒种,99.98,4/4拍,65
"Alan Walker, K-391, Sofia Carson, CORSAK",Different World (feat. CORSAK),130.04,4/4拍,65
Eric Chou,如果能幸福 - HBO Asia原創影集《戒指流浪記》片尾曲,149.94,4/4拍,65
"Jay Chou, 阿信",說好不哭,152.02,4/4拍,65
Fish Leong,慢冷,92.05,4/4拍,64
WayV,Turn Back Time,134.96,4/4拍,64
Jay Chou,晴天,137.13,4/4拍,64
Ren Ran,无人之岛,139.87,4/4拍,64
Sunset Rollercoaster,My Jinji,143.94,4/4拍,64
G.E.M.,句號,143.94,4/4拍,64
G.E.M.,"很久以後 - 電影《可不可以,你也剛好喜歡我》主題曲",145.94,4/4拍,64
Keung To,鏡中鏡,147.04,4/4拍,64
LaLa Hsu,真的傻 (電影《一吻定情》追愛版主題曲),150.02,4/4拍,64
Mayday,因為你 所以我,152.1,4/4拍,64
Jay Chou,告白氣球,179.99,4/4拍,64
Stefanie Sun,遇見,91.86,4/4拍,63
"Silence Wang, By2",有点甜,104.98,4/4拍,63
"Afgan, Jackson Wang",M.I.A (feat. Jackson Wang),113.95,4/4拍,63
高爾宣 OSN,So Bad,118.01,4/4拍,63
陳卓賢 Ian,地球上的最後一朵花,125.88,4/4拍,63
"Jackson Wang, JJ Lin",過 (Should've Let Go),127.94,4/4拍,63
Ronghao Li,年少有為,131.89,4/4拍,63
JJ Lin,那些你很冒險的夢,135.1,4/4拍,63
Mayday Parade,Miserable At Best,135.35,4/4拍,63
Eric Chou,如果雨之後,136.72,4/4拍,63
Eric Chou,永不失聯的愛,169.51,4/4拍,63
G.E.M.,光年之外 (電影 《Passengers》 中國區主題曲),175.87,4/4拍,63
阿冗,你的答案,175.91,4/4拍,63
